13.12 25 2.681 0.467
13.36 16 1.17 -0.577
13.6 16 1.224 -0.483
13.82 16 1.253 -0.407
14.06 16 1.281 -0.325
14.3 16 1.287 -0.208
14.54 16 1.292 -0.129
14.78 16 1.287 -0.022
15.02 16 1.267 0.057
15.26 16 1.244 0.14
15.5 5 1.57 -0.535
15.5 16 1.197 0.258
15.78 16 1.159 0.331
16.02 16 1.088 0.45
16.16 5 1.652 -0.36
16.16 16 1.088 0.45
16.32 16 1.088 0.45
16.62 5 1.665 -0.159
16.86 5 1.642 -0.097
17.08 5 1.622 -0.027
17.32 5 1.599 0.02
17.54 5 1.575 0.061
17.78 5 1.536 0.111
18 5 1.522 0.137
18.24 7 3.905 -0.185
18.24 5 1.493 0.133
18.48 7 3.905 -0.186
18.48 5 1.482 0.128
18.72 5 1.449 0.12
18.96 5 1.432 0.113
19.18 5 1.418 0.106
19.42 5 1.379 0.102
19.64 5 1.369 0.092
19.88 5 1.354 0.086
20.02 7 3.802 -0.18
20.02 5 1.354 0.086
20.32 7 3.802 -0.184
20.32 5 1.314 0.076
20.54 5 1.29 0.061
20.78 5 1.279 0.05
21 5 1.25 0.039
21.24 5 1.239 0.028
21.48 5 1.222 0.02
21.7 5 1.205 0.005
21.94 5 1.188 -0.005
22.16 5 1.171 -0.019
22.4 5 1.153 -0.032
22.62 5 1.142 -0.044
22.86 5 1.135 -0.063
23.1 5 1.111 -0.101
23.32 5 1.096 -0.151
23.56 5 1.08 -0.203
23.78 5 1.05 -0.289
24.02 5 1.029 -0.342
57.54 72 6.632 0.484
57.78 72 6.632 0.488
58.02 72 6.792 0.472
58.5 27 7.136 0.481
58.74 72 6.891 0.407
58.98 72 6.891 0.408
59.68 72 7.321 0.252
59.92 72 7.321 0.24
60.16 72 7.258 0.243
60.16 27 7.516 0.308
60.42 72 7.321 0.246
60.42 27 7.516 0.313
60.66 72 7.136 0.246
60.9 72 7.181 0.244
60.9 27 7.516 0.309
61.14 72 7.321 0.183
61.38 72 7.279 0.167
61.62 72 7.258 0.159
61.86 72 7.321 0.157
62.1 72 7.321 0.162
62.58 72 7.321 0.08
63.06 27 7.723 0.142
63.3 72 7.136 0.04
63.54 61 4.316 0.451
63.78 61 4.383 0.446
64 72 7.321 -0.017
64.48 61 4.451 0.374
64.48 70 5.336 0.46
64.72 61 4.451 0.37
64.96 72 7.289 -0.091
64.96 27 7.723 -0.02
64.96 25 3.043 0.232
64.96 61 4.383 0.375
64.96 70 5.374 0.464
65.44 72 7.136 -0.091
65.44 27 7.584 -0.018
65.44 25 3.015 0.233
65.44 61 4.383 0.377
65.44 70 5.274 0.461
65.96 25 2.988 0.236
65.96 70 5.274 0.458
66.2 61 4.451 0.338
66.44 61 4.521 0.235
66.66 61 4.594 0.164
66.66 70 5.585 0.256
66.9 61 4.644 0.153
67.14 61 4.594 0.138
67.14 41 5.085 0.248
67.38 61 4.586 0.14
67.84 25 2.961 -0.008
67.84 41 4.996 0.243
68.08 27 7.321 -0.27
68.08 41 4.996 0.244
68.3 54 6.48 -0.115
68.3 36 6.959 0.33
68.54 25 2.925 -0.09
68.54 41 5.067 0.161
68.78 70 5.585 0.145
68.78 41 5.085 0.156
69 61 4.521 0.048
69.24 61 4.521 0.043
69.72 27 6.792 -0.442
69.72 25 2.83 -0.176
69.72 61 4.451 -0.025
69.72 41 4.996 0.066
70.2 25 2.777 -0.219
70.2 61 4.461 -0.059
70.68 25 2.733 -0.261
70.68 9 2.641 0.31
70.9 41 5.085 -0.023
70.9 70 5.585 -0.013
71.14 61 4.383 -0.123
71.38 61 4.359 -0.161
71.38 9 2.621 0.255
71.62 9 2.681 0.224
71.86 41 4.91 -0.146
71.86 9 2.633 0.208
72.08 36 7.136 0.052
72.08 9 2.635 0.211
72.32 61 4.26 -0.224
72.32 9 2.633 0.221
72.56 36 7.136 0.044
72.56 9 2.61 0.204
72.8 70 5.439 -0.159
73.02 41 4.827 -0.205
73.02 9 2.588 0.171
73.5 70 5.374 -0.192
73.5 9 2.57 0.165
73.74 70 5.374 -0.192
73.74 9 2.542 0.162
73.98 61 4.11 -0.28
73.98 9 2.522 0.167
74.22 70 5.374 -0.185
74.22 9 2.484 0.174
74.44 70 5.323 -0.184
74.44 9 2.481 0.177
74.68 41 4.688 -0.222
74.68 9 2.469 0.179
74.92 25 2.312 -0.461
74.92 81 3.802 0.42
75.16 9 2.461 0.186
75.4 41 4.669 -0.229
75.4 9 2.426 0.177
75.66 41 4.654 -0.236
75.66 9 2.4 0.176
75.9 41 4.644 -0.232
75.9 9 2.372 0.187
76.14 41 4.594 -0.224
76.14 9 2.348 0.194
76.36 9 2.34 0.202
76.6 41 4.594 -0.232
76.6 9 2.32 0.196
76.84 9 2.292 0.205
77.08 61 3.866 -0.269
77.08 9 2.275 0.215
77.3 70 5.178 -0.155
77.54 41 4.521 -0.239
77.54 9 2.241 0.208
77.78 9 2.252 0.196
78 41 4.521 -0.233
78 9 2.209 0.22
78.24 41 4.521 -0.229
78.24 9 2.202 0.248
78.48 41 4.521 -0.225
78.48 9 2.186 0.256
78.72 70 5.085 -0.161
78.72 9 2.17 0.257
78.96 70 5.034 -0.154
78.96 36 6.959 0.049
79.42 70 4.996 -0.144
79.42 9 2.091 0.26
79.66 70 4.996 -0.146
79.66 9 2.076 0.256
79.9 61 3.708 -0.255
79.9 41 4.451 -0.225
79.9 70 4.938 -0.145
79.9 36 6.792 0.061
79.9 9 2.058 0.265
80.14 61 3.701 -0.25
80.14 41 4.451 -0.223
80.14 70 4.917 -0.141
80.14 36 6.632 0.061
80.14 9 2.04 0.265
80.38 61 3.695 -0.248
80.38 41 4.451 -0.216
80.38 70 4.996 -0.136
80.38 36 6.774 0.069
80.6 25 1.961 -0.489
80.6 61 3.662 -0.251
80.6 9 2.001 0.276
80.84 61 3.657 -0.255
80.84 70 4.921 -0.143
80.84 36 6.663 0.061
80.84 9 2.003 0.288
81.08 25 1.924 -0.502
81.08 61 3.64 -0.255
81.08 41 4.399 -0.227
81.08 70 4.91 -0.141
81.08 36 6.722 0.066
81.08 9 1.975 0.279
81.32 25 1.911 -0.493
81.32 61 3.605 -0.246
81.32 41 4.316 -0.219
81.32 70 4.91 -0.13
81.32 36 6.525 0.076
81.32 9 1.958 0.295
81.56 25 1.903 -0.49
81.56 61 3.614 -0.24
81.56 41 4.383 -0.216
81.56 70 4.84 -0.127
81.8 25 1.884 -0.497
81.8 61 3.573 -0.244
81.8 41 4.327 -0.219
81.8 70 4.847 -0.127
81.8 36 6.48 0.081
81.8 9 1.933 0.319
82.04 25 1.867 -0.5
82.04 61 3.577 -0.245
82.04 41 4.383 -0.222
82.04 70 4.827 -0.128
82.04 36 6.48 0.079
82.26 25 1.852 -0.499
82.26 61 3.557 -0.243
82.26 41 4.33 -0.221
82.26 70 4.786 -0.125
82.26 9 1.875 0.311
82.74 61 3.54 -0.228
82.74 41 4.349 -0.217
82.74 70 4.827 -0.125
82.98 25 1.816 -0.496
82.98 61 3.511 -0.231
82.98 41 4.316 -0.21
82.98 70 4.821 -0.11
82.98 36 6.48 0.101
82.98 9 1.814 0.34
83.22 25 1.794 -0.502
83.22 61 3.492 -0.23
83.22 41 4.316 -0.211
83.22 70 4.747 -0.11
83.22 9 1.802 0.355
83.46 61 3.567 -0.216
83.46 70 4.827 -0.104
83.7 25 1.773 -0.501
83.7 61 3.466 -0.224
83.7 41 4.291 -0.205
83.7 70 4.705 -0.102
83.7 36 6.335 0.114
83.7 9 1.766 0.358
83.92 25 1.753 -0.508
83.92 61 3.448 -0.224
83.92 41 4.252 -0.208
83.92 70 4.729 -0.104
84.16 25 1.739 -0.509
84.16 61 3.436 -0.222
84.16 41 4.237 -0.203
84.16 70 4.722 -0.098
84.16 9 1.734 0.343
84.4 25 1.744 -0.495
84.4 61 3.44 -0.218
84.4 41 4.252 -0.203
84.4 70 4.684 -0.096
84.4 36 6.335 0.117
84.4 9 1.709 0.384
84.64 25 1.712 -0.505
84.64 61 3.413 -0.214
84.64 41 4.274 -0.196
84.64 70 4.723 -0.088
84.64 36 6.335 0.127
84.88 25 1.701 -0.509
84.88 61 3.385 -0.214
84.88 41 4.221 -0.195
84.88 70 4.604 -0.088
84.88 36 6.282 0.128
85.12 25 1.682 -0.519
85.12 61 3.362 -0.219
85.12 41 4.221 -0.201
85.12 70 4.62 -0.092
85.36 25 1.664 -0.524
85.36 61 3.347 -0.221
85.36 70 4.594 -0.093
85.62 70 4.602 -0.093
85.62 36 6.196 0.126
85.86 70 4.59 -0.089
